
"Index","Closing Index","Gains","Gains_index","Gains_percentage"
紡織纖維類報酬指數,650.16,-,6.66,-1.01
電機機械類報酬指數,216.79,+,0.82,0.38
電器電纜類報酬指數,51.71,+,0.32,0.62
化學生技醫療類報酬指數,132.18,+,0.24,0.18
化學類報酬指數,135.86,+,0.49,0.36
生技醫療類報酬指數,88.57,-,0.04,-0.05
玻璃陶瓷類報酬指數,49.12,+,1.04,2.16
造紙類報酬指數,263.11,+,5.11,1.98
鋼鐵類報酬指數,136.48,-,0.69,-0.5
橡膠類報酬指數,421.72,-,0.77,-0.18
汽車類報酬指數,320.86,+,1.55,0.49
電子類報酬指數,605.47,-,3.21,-0.53
半導體類報酬指數,197.21,-,2.41,-1.21
電腦及週邊設備類報酬指數,163.91,+,0.4,0.24
光電類報酬指數,53.27,+,0.41,0.78
通信網路類報酬指數,205.04,-,1.05,-0.51
電子零組件類報酬指數,129.36,-,0.34,-0.26
電子通路類報酬指數,188.17,-,0.36,-0.19
資訊服務類報酬指數,152.98,-,0.11,-0.07
其他電子類報酬指數,120.98, ,--,--
建材營造類報酬指數,393.82,+,0.24,0.06
航運類報酬指數,80.97,-,0.17,-0.21
觀光類報酬指數,131.46,-,0.53,-0.4
金融保險類報酬指數,1502.01,-,5.11,-0.34
貿易百貨類報酬指數,273.84,+,1.68,0.62
油電燃氣類報酬指數,168.86,-,1.49,-0.87
其他類報酬指數,339.37,+,0.41,0.12
"成交統計","成交金額(元)","成交股數(股)","成交筆數"
"1.一般股票","98704006151","2505507937","831798"
"2.台灣存託憑證","11866823","2370813","422"
"3.受益憑證","0","0","0"
"4.ETF","3128277420","173769109","21411"
"5.受益證券","14602530","1029000","71"
"6.變更交易股票","864725270","74810460","11710"
"7.認購(售)權證","1343900770","1425503000","43577"
"8.轉換公司債","0","0","0"
"9.附認股權特別股","0","0","0"
"10.附認股權公司債","0","0","0"
"11.認股權憑證","0","0","0"
"12.公司債","0","0","0"
"證券合計(1+6)","99568731421","2580318397","843508"
"總計(1~12)","104067378964","4182990319","908989"
"漲跌證券數合計"
"類型","整體市場(元)","股票"
"上漲(漲停)",2108(12),387(9)
"下跌(跌停)",2978(22),376(0)
"持平",598,128
"未成交",4096,1
"無比價",803,4
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
"3. 外幣（含人民幣）成交值係以本公司當日下午3時30分公告人民幣兌新臺幣匯率4.43換算後加入成交金額。"
